country,abc.net.au,abcnews.go.com,adweek.com,alarabiya.net,alternet.org,bbc.co.uk,bdnews24.com,bloomberg.com,boingboing.net,breitbart.com,businessweek.com,cbc.ca,cbsnews.com,chicagotribune.com,chron.com,cnbc.com,"cnn.com,money.cnn.com,ireport.cnn.com",commondreams.org,dailycurrant.com,digitalspy.co.uk,dnaindia.com,drudgereport.com,dw.de,economist.com,eonline.com,espn.go.com,ew.com,examiner.com,forbes.com,foxnews.com,ft.com,gawker.com,good.is,guardianlv.com,hindustantimes.com,hollywoodreporter.com,huffingtonpost.com,indianexpress.com,ksl.com,latimes.com,mediabistro.com,msn.foxsports.com,nationalgeographic.com,nbcnews.com,ndtv.com,"news.com.au,heraldsun.com.au","news.sky.com,sky.com",newsmax.com,newyorker.com,npr.org,nypost.com,nytimes.com,online.wsj.com,pbs.org,rawstory.com,rd.com,rollingstone.com,rte.ie,salon.com,sfgate.com,smh.com.au,spiegel.de,sportsillustrated.cnn.com,theatlantic.com,theglobeandmail.com,theguardian.com,thehindu.com,theweek.com,time.com,"timesofindia.indiatimes.com,economictimes.indiatimes.com,navbharattimes.indiatimes.com",tmz.com,townhall.com,tvguide.com,usatoday.com,usnews.com,variety.com,washingtonpost.com,wired.com,worldnetdaily.com
ARE,16,15,0,34,0,10,0,0,2,3,0,4,3,2,5,3,10,0,0,4,40,1,1,1,3,2,2,22,5,15,8,0,0,8,14,6,1,28,5,1,0,0,0,2,16,15,0,4,1,0,4,5,9,0,3,0,0,4,0,10,12,0,5,0,5,14,39,0,5,62,0,0,0,3,6,4,0,1,1
AFG,24,52,0,6,0,56,1,0,0,15,0,20,15,14,2,2,29,6,0,2,49,5,18,2,1,4,2,33,1,79,1,1,0,11,9,3,11,29,46,21,0,2,2,6,40,25,6,15,2,30,12,40,23,0,4,0,0,6,1,43,33,2,0,5,15,47,40,1,35,70,2,3,1,21,33,1,23,0,6
ATG,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,3,1,0,0,0,0,0,0,0,1,0,5,0,2,0,0,1,0,0,0,2,0,1,0,0,0,1,17,3,2,0,1,1,2,0,0,0,2,2,0,0,0,0,0,1,3,0,1,0,1,29,7,1,0,1,0,0,1,0,13,1,0,0,0,1,2,3,0,0,3,0,0,0,2,2,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
AGO,0,5,0,1,0,1,0,0,0,0,0,2,2,1,0,0,1,0,0,1,2,0,0,1,1,0,0,7,3,2,0,0,0,1,1,0,0,3,3,0,0,1,0,0,1,0,1,0,0,2,6,5,3,0,1,0,0,0,0,2,3,0,0,0,1,1,2,0,1,6,0,0,0,1,3,2,0,0,0
ATA,5,3,1,0,0,2,0,0,1,0,0,3,1,0,2,0,2,0,0,0,0,0,1,0,0,2,0,8,3,2,1,0,0,3,0,0,0,1,1,9,0,0,0,0,1,3,0,0,0,2,2,1,0,0,1,0,0,0,1,3,3,0,0,0,1,6,0,0,2,1,0,0,0,1,3,5,0,1,0
ARG,6,21,2,0,0,9,0,1,2,2,1,4,0,1,5,1,8,1,0,0,3,2,0,1,1,18,1,37,8,11,2,0,2,8,1,3,4,4,13,4,0,8,0,3,1,17,1,2,0,4,0,14,17,0,2,0,1,6,0,48,13,0,3,1,2,14,6,1,2,5,0,0,0,6,8,3,4,0,5
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,8,0,0,0,4,0,0,0,2,0,2,1,2,0,0,0,1,0,0,3,1,1,0,0,4,0,20,5,4,3,0,0,6,1,2,3,0,5,1,0,2,0,0,5,2,0,6,1,2,2,7,5,0,0,1,0,6,0,5,0,0,1,1,0,12,4,0,1,7,0,0,0,0,4,2,0,0,1
AUS,1670,69,2,4,0,129,0,1,4,24,1,98,40,22,6,30,50,4,0,37,93,10,6,1,38,18,7,197,39,65,12,3,7,47,17,26,22,59,53,40,0,7,2,11,103,3575,15,41,8,28,37,61,81,1,21,0,9,62,22,66,2413,0,13,5,46,641,67,3,55,98,6,0,9,50,33,15,11,5,3
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AZE,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0
BIH,0,4,0,0,0,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,14,0,0,0,0,2,0,6,1,1,0,0,0,1,1,1,0,13,4,1,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0,5,1,0,0,7,0,0,0,0,1,0,0,0,0
BRB,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
BGD,6,3,0,1,0,5,1,2,0,2,2,5,3,2,0,2,2,4,0,0,36,0,5,1,1,0,1,12,10,3,1,0,6,6,7,0,3,30,1,2,0,0,0,0,11,5,0,0,0,5,0,10,7,0,3,0,0,1,0,2,2,0,0,0,5,22,49,0,3,103,1,0,0,2,2,0,3,0,0
BEL,6,5,0,0,0,16,0,0,0,6,0,1,2,2,2,3,0,1,0,3,2,2,6,1,1,7,0,26,5,6,6,0,1,5,0,5,1,5,3,1,0,2,1,0,3,6,1,4,0,2,3,13,25,0,0,0,0,10,1,2,2,1,4,1,4,17,6,1,4,3,0,1,0,6,5,2,0,0,0
BFA,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0
BGR,2,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,4,0,2,12,2,7,1,0,0,2,0,1,0,1,2,0,0,0,0,0,0,2,0,1,0,2,2,1,0,0,1,0,0,2,1,1,0,0,1,0,1,4,2,0,1,3,2,0,2,0,2,3,0,0,0
BHR,6,17,0,2,0,13,0,0,0,1,0,1,0,0,0,0,3,0,0,0,5,0,0,0,1,2,0,8,1,8,0,0,0,0,1,0,0,7,6,0,0,0,0,0,2,12,0,1,0,0,0,6,1,0,0,0,0,4,0,6,4,0,6,0,3,13,8,0,1,6,0,0,0,10,1,0,0,0,0
BDI,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
BEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,3,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,7,0,0,0,0,0,0,1,0,1
BLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
BRN,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
BOL,0,4,0,0,0,4,0,0,0,3,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,7,1,5,0,0,0,3,1,1,0,0,6,0,0,0,0,0,0,2,0,1,0,1,1,7,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0
BRA,15,71,11,9,1,63,0,8,4,10,5,26,19,16,8,42,26,3,0,23,46,8,10,9,12,26,6,163,89,21,6,1,4,27,3,15,12,14,24,36,0,0,1,15,33,28,4,19,0,12,20,73,76,0,9,0,9,15,9,20,24,0,21,9,34,82,28,2,28,41,2,1,2,31,20,24,1,10,4
BHS,2,4,0,0,0,2,0,0,0,0,0,4,1,1,0,0,0,0,0,0,12,1,0,0,9,0,1,8,0,4,0,0,0,1,1,1,0,4,2,0,0,0,0,0,2,5,0,1,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,2,3,5,0,1,8,0,0,1,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0
BWA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,4,1,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,2,0,0,0,2,0,1,1,2,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0,2,1,4,0,1,2,0,0,0,1,0,1,0,0,0
BLZ,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CAN,20,98,8,1,5,63,0,2,12,14,2,3842,20,38,18,10,24,12,0,15,23,8,3,4,33,74,12,504,34,46,5,0,7,67,7,59,11,14,32,55,0,27,0,1,16,64,3,26,3,20,119,149,54,2,16,0,15,29,3,85,34,0,60,10,1577,81,24,9,26,25,7,4,3,93,32,26,3,2,15
CCK,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
COD,0,7,0,0,0,6,0,1,0,0,1,1,1,3,0,0,4,0,0,0,1,1,3,0,0,0,0,11,4,9,0,1,5,3,0,3,0,0,8,1,0,0,2,0,1,0,0,0,0,1,1,3,0,0,0,0,0,1,0,4,3,0,0,0,2,2,5,0,4,5,0,0,0,2,3,1,0,0,0
CAF,1,18,0,0,0,12,0,0,0,0,0,4,1,0,0,0,5,1,0,1,0,0,5,0,0,0,0,3,1,17,0,0,2,0,3,0,1,1,10,2,0,0,0,0,1,2,0,0,0,3,0,10,2,0,0,0,0,3,0,9,4,0,0,0,2,5,4,0,8,5,0,0,0,1,8,1,3,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHE,1,16,1,3,0,4,0,1,0,2,1,8,1,4,6,3,7,0,0,1,14,0,2,1,0,9,1,17,8,9,1,0,2,7,5,5,2,7,3,3,0,9,1,0,4,9,0,2,0,1,2,12,13,2,4,0,1,6,0,9,4,0,15,1,12,15,18,0,3,33,0,1,0,7,9,1,1,4,3
CIV,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0
