domain,type,country
cnn.com,broadcast,us
bbc.co.uk,broadcast,gb
espn.go.com,broadcast,us
foxnews.com,broadcast,us
nbcnews.com,broadcast,us
ndtv.com,broadcast,in
bloomberg.com,broadcast,us
abcnews.go.com,broadcast,us
money.cnn.com,broadcast,us
eonline.com,broadcast,us
msn.foxsports.com,broadcast,us
npr.org,broadcast,us
cnbc.com,broadcast,us
sky.com,broadcast,gb
alarabiya.net,broadcast,ae
cbsnews.com,broadcast,us
cbc.ca,broadcast,ca
cbs.com,broadcast,us
ksl.com,broadcast,us
pbs.org,broadcast,us
