domain,type,country,global rank
forbes.com,magazine,us,165
spiegel.de,magazine,de,191
time.com,magazine,us,332
wired.com,magazine,us,646
nationalgeographic.com,magazine,us,880
businessweek.com,magazine,us,898
ew.com,magazine,us,1253
tvguide.com,magazine,us,1321
usnews.com,magazine,us,1400
theatlantic.com,magazine,us,1406
rollingstone.com,magazine,us,1458
economist.com,magazine,gb,1914
newyorker.com,magazine,us,2603
variety.com,magazine,us,2791
adweek.com,magazine,us,3694
townhall.com,magazine,us,4516
theweek.com,magazine,gb,5190
rd.com,magazine,us,6589
good.is,magazine,us,9621
tnr.com,magazine,us,9806
