domain,type,country
huffingtonpost.com,online,us
tmz.com,online,us
drudgereport.com,online,us
examiner.com,online,us
news.com.au,online,au
gawker.com,online,us
breitbart.com,online,us
salon.com,online,us
bdnews24.com,online,bd
newsmax.com,online,us
worldnetdaily.com,online,us
digitalspy.co.uk,online,gb
rawstory.com,online,us
alternet.org,online,us
boingboing.net,online,us
mediabistro.com,online,us
guardianlv.com,online,us
dailycurrant.com,online,us
arcamax.com,online,us
rte.ie,online,ie
