media_id,url,name,pub_country,pub_state,primary_language,subject_country,public_notes,is_monitored,editor_notes,media type
300222,http://www.canadastandard.com/,Canada Standard | National News Service for Canada,Canada,,en,none,,0,,digital-origin
396986,http://rss.cbc.ca/lineup/topstories.xml,CBC.ca,Canada,,en,none,undefined,1,undefined,analog-origin
396987,http://www.ctvnews.ca/rss/ctvnews-ca-top-stories-public-rss-1.822009,CTV news - Canada,Canada,,en,none,undefined,1,undefined,analog-origin
303556,http://en.canoe.com/,en.canoe.com,Canada,,en,none,,0,,digital-origin
396988,http://globalnews.ca/feed/,Global News Canada,Canada,,en,none,undefined,1,undefined,analog-origin
19477,http://www.theglobeandmail.com,Globe and Mail,Canada,,en,none,,0,,analog-origin
69032,http://www.huffingtonpost.ca/#spider,huffingtonpost.ca,Canada,,en,Canada,,0,,digital-origin
396990,http://www.macleans.ca/news/feed/,Maclean's Canada,Canada,,en,none,undefined,1,undefined,analog-origin
380552,http://www.metronews.ca/toronto.html,Metro Toronto | Latest News and Local Views,Canada,,en,none,,0,,analog-origin
40557,http://www.montrealgazette.com/,montrealgazette,Canada,,en,none,,0,,analog-origin
20407,http://news.nationalpost.com,news.nationalpost.com,Canada,,en,none,,0,,analog-origin
70825,http://o.canada.com/#spider,o.canada.com,Canada,,en,United States,,0,,digital-origin
46073,http://www.ottawacitizen.com/#spider,ottawacitizen.com,Canada,,en,none,,0,,analog-origin
300502,http://www.rcinet.ca/en/,Radio Canada International,Canada,,en,Canada,,0,,analog-origin
30248,http://www.theprovince.com#spider,theprovince.com,Canada,,en,New York,,0,,analog-origin
38821,http://www.thestar.com/,TorontoStar,Canada,,en,none,,0,,analog-origin
26063,http://www.torontosun.com,torontosun.com,Canada,,en,none,,0,,analog-origin
20750,http://www.vancouversun.com,vancouversun.com,Canada,,en,Canada,,0,,analog-origin
39000,http://abcnews.go.com/,ABC News,USA,,en,United States,,0,,analog-origin
1713,http://www.bloomberg.com/?b=0&intro=intro3,Bloomberg.com,USA,,en,United States,,0,,analog-origin
19334,http://www.breitbart.com,Breitbart,USA,,en,United States,,0,,digital-origin
18710,http://www.businessinsider.com,Business Insider,USA,,en,United States,,0,,analog-origin
6218,http://www.buzzfeed.com,Buzzfeed,USA,,en,none,,0,,digital-origin
1752,http://www.cbsnews.com/,cbs news,USA,USA_NY,en,United States,,1,,analog-origin
4415,http://cnet.com,CNET,USA,,en,United States,this is a new public note about cnet,1,this is a new editor note about cnet news,analog-origin
1095,http://www.cnn.com/,CNN,USA,USA_GA,en,United States,this is a public note about cnn,1,an editor note about cnn,analog-origin
115,http://www.dailykos.com,Daily Kos,USA,,en,United States,,0,,digital-origin
8,http://www.nydailynews.com/,Daily News,USA,USA_NY,en,United States,Public info about ny daily news,1,daily news notes,analog-origin
